title,platform,note
Balatro,Nintendo Switch,Also owned on Steam (Balatro)
Cult of the Lamb,Nintendo Switch,Also owned on Steam (Cult of the Lamb)
Daemon X Machina,Nintendo Switch,Also owned on Steam (DAEMON X MACHINA)
Date Everything,Nintendo Switch,Also owned on Steam (Date Everything!)
Dead In Vinland,Nintendo Switch,Also owned on Steam (Dead In Vinland)
Eiyuden Chronicle: Hundred Heroes,Nintendo Switch,Also owned on Steam (Eiyuden Chronicle: Hundred Heroes)
Final Fantasy XII: The Zodiac Age,Nintendo Switch,Also owned on Steam (FINAL FANTASY XII THE ZODIAC AGE)
Gris,Nintendo Switch,Also owned on Steam (GRIS)
The Legend of Heroes: Trails through Daybreak,Nintendo Switch,Also owned on Steam (The Legend of Heroes: Trails through Daybreak)
Metal Slug Tactics,Nintendo Switch,Also owned on Steam (Metal Slug Tactics)
Star Wars: Dark Forces Remaster,Nintendo Switch,Also owned on Steam (STAR WARS™: Dark Forces Remaster)
Star Wars Jedi Knight: Jedi Academy,Nintendo Switch,Also owned on Steam (STAR WARS™ Jedi Knight - Jedi Academy™)
Star Wars: Knights of the Old Republic,Nintendo Switch,Also owned on Steam (STAR WARS™ Knights of the Old Republic™)
Star Wars: Knights of the Old Republic II - The Sith Lords,Nintendo Switch,Also owned on Steam (STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™) · ❓ KOTOR II is listed twice in CLZ under two spellings – possible duplicate entry
Star Wars: Knights of the Old Republic II: The Sith Lords,Nintendo Switch,Also owned on Steam (STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™) · ❓ KOTOR II is listed twice in CLZ under two spellings – possible duplicate entry
Tales of Berseria Remastered,Nintendo Switch,Also owned on Steam (Tales of Berseria™)
Teenage Mutant Ninja Turtles: Shredder's Revenge,Nintendo Switch,Also owned on Steam (Teenage Mutant Ninja Turtles: Shredder's Revenge)
Cyberpunk 2077: Ultimate Edition,Nintendo Switch 2,Also owned on Steam (Cyberpunk 2077)
Daemon X Machina: Titanic Scion,Nintendo Switch 2,Also owned on Steam (Daemon X Machina: Titanic Scion)
Hades II,Nintendo Switch 2,Also owned on Steam (Hades II)
Star Wars: Bounty Hunter,PlayStation 2,Also owned on Steam (STAR WARS™: Bounty Hunter™)
Bayonetta,PlayStation 3,Upgrade candidate: Covered by Bayonetta & Vanquish (PS4) · Also owned on Steam (Bayonetta)
Call of Duty: Black Ops,PlayStation 3,Surplus: Owned on Xbox 360 – Xbox is your CoD console
Call of Duty: Modern Warfare 2,PlayStation 3,Surplus: In the MW Trilogy (Xbox 360)
Dead Space 2,PlayStation 3,Also owned on Steam (Dead Space™ 2)
Dragon Age: Origins,PlayStation 3,Also owned on Steam (Dragon Age: Origins - Ultimate Edition)
Final Fantasy XIII,PlayStation 3,Also owned on Steam (FINAL FANTASY® XIII)
