title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Earthion,PC,,owned,,,,,"Jul 31, 2025",Limited Run Games,Ancient,Shoot'em Up,,,,,"Oct 16, 2025",,,clz
A-Train: All Aboard! Tourism,Nintendo Switch 2,,owned,,,,,"Mar 12, 2021",ArtDink,Artdink,,,,,,"Mar 14, 2026",,,clz
Bang! Bang! Bandits - Nintendo Switch 2 Edition,Nintendo Switch 2,,owned,,,,,"Mar 19, 2026",Nippon Columbia,,Shoot'em Up,,,,,"Apr 04, 2026",,,clz
Bravely Default: Flying Fairy HD Remaster,Nintendo Switch 2,,owned,,,,,"Jun 05, 2025",Square Enix,Square Enix,RPG,,,,,"Jun 06, 2025",,,clz
Brigandine Abyss,Nintendo Switch 2,,owned,,,,,"Aug 27, 2026",NIS America,Adglobe,RPG | Strategy | Tactical,,,,,"Sep 11, 2026",,,clz
Bubsy 4D,Nintendo Switch 2,,owned,,,,,"May 22, 2026",Atari,Fabraz,Platformer,,,,,"May 22, 2026",,,clz
Card-en-Ciel,Nintendo Switch 2,,owned,,,,,"Oct 24, 2024",Inti Creates,Inti Creates,Board & Card | RPG | Strategy,,,,,"Mar 14, 2026",,,clz
Culdcept Begins,Nintendo Switch 2,,owned,,,,,"Jul 16, 2026",Clear River Games,Omiya Soft,Card | Turn-Based Strategy,,,,,"Sep 17, 2026",,,clz
Cyberpunk 2077: Ultimate Edition,Nintendo Switch 2,,owned,,,,,"Jun 05, 2025",Bandai Namco,CD Projekt Red,RPG,,,,,"Jun 07, 2025",,,clz
Daemon X Machina: Titanic Scion,Nintendo Switch 2,,owned,,,,,"Sep 05, 2025",Marvelous Inc.,Marvelous First Studio,Third Person Shooter,,,,,"Sep 23, 2025",,,clz
Donkey Kong Bananza,Nintendo Switch 2,,owned,,,,,"Jul 17, 2025",Nintendo,Nintendo,Action/Adventure | Platformer,,,,,"Jul 27, 2025",,,clz
Fantasy Life i: The Girl Who Steals Time,Nintendo Switch 2,,owned,,,,,"Oct 10, 2024",Level-5,Level-5,RPG,,,,,"Aug 26, 2025",,,clz
Fire Emblem: Fortune's Weave,Nintendo Switch 2,,owned,,,,,"Sep 17, 2026",Nintendo,Intelligent Systems,RPG | Tactical,,,,,"Sep 17, 2026",,,clz
FZ: Formation Z,Nintendo Switch 2,,owned,,,,,"May 25, 2026",Clear River Games,Granzella Inc.,Shoot'em Up,,,,,"Jun 11, 2026",,,clz
Granblue Fantasy: Relink - Endless Ragnarok,Nintendo Switch 2,,owned,,,,,"Jul 09, 2026",Plaion,Cygames,Action | RPG,,,,,"Jul 09, 2026",,,clz
Hades II,Nintendo Switch 2,,owned,,,,,"Nov 20, 2025",Supergiant Games,Supergiant Games,RPG,,,,,"Nov 20, 2025",,,clz
Hyrule Warriors: Age of Imprisonment,Nintendo Switch 2,,owned,,,,,"Nov 06, 2025",Nintendo,Koei Tecmo Games,Beat'em Up,,,,,"Nov 06, 2025",,,clz
Kirby Air Riders,Nintendo Switch 2,,owned,,,,,"Nov 20, 2025",Nintendo,Bandai Interactive,Racing,,,,,"Nov 19, 2025",,,clz
LoveR Kiss: Endless Memories,Nintendo Switch 2,,owned,,,,,"Apr 30, 2026",Dragami Games,,Other,,,,,"May 11, 2026",,,clz
Majogami,Nintendo Switch 2,,owned,,,,,"Oct 30, 2025",Inti Creates,Inti Creates,Platformer,,,,,"Nov 19, 2025",,,clz
Mario Tennis Fever,Nintendo Switch 2,,owned,,,,,"Feb 12, 2026",Nintendo,Nintendo,Sport,,,,,"Feb 13, 2026",,,clz
MARVEL Cosmic Invasion,Nintendo Switch 2,,owned,,,,,"Apr 17, 2026",DotEmu,Tribute Games,Beat'em Up,,,,,"Aug 02, 2026",,,clz
Metroid Prime 4: Beyond,Nintendo Switch 2,,owned,,,,,"Nov 27, 2025",Nintendo,Nintendo,FPS,,,,,"Dec 04, 2025",,,clz
Moonlight Peaks - Nintendo Switch 2 Edition,Nintendo Switch 2,,owned,,,,,"Aug 28, 2026",XSEED Games,Little Chicken Game Company,,,,,,"Aug 29, 2026",,,clz
Mortal Kombat: Legacy Kollection,Nintendo Switch 2,,owned,,,,,"Dec 12, 2025",Atari,Digital Eclipse,Compilation | Fighting,,,,,"Aug 28, 2026",,,clz
Mouse: P.I. For Hire,Nintendo Switch 2,,owned,,,,,"Jul 10, 2026",U&I Entertainment,Fumi Games,FPS,,,,,"Jul 10, 2026",,,clz
Orbitals,Nintendo Switch 2,,owned,,,,,"Sep 03, 2026",Kepler Interactive,Shapefarm,Action/Adventure,,,,,"Sep 04, 2026",,,clz
Outbound,Nintendo Switch 2,,owned,,,,,"Apr 23, 2026",Silver Lining,Square Glade Games,Open World,,,,,"May 15, 2026",,,clz
Pokemon Legends: Z-A,Nintendo Switch 2,,owned,,,,,"Oct 16, 2025",Nintendo,Game Freak,RPG,,,,,"Oct 16, 2025",,,clz
Pokémon Pokopia,Nintendo Switch 2,,owned,,,,,"Mar 05, 2026",Nintendo,Game Freak,,,,,,"Mar 09, 2026",,,clz
Rune Factory: Guardians of Azuma,Nintendo Switch 2,,owned,,,,,"Jun 05, 2025",Marvelous,Marvelous Interactive,RPG,,,,,"Jun 16, 2025",,,clz
Splatoon Raiders,Nintendo Switch 2,,owned,,,,,"Jul 23, 2026",Nintendo,Nintendo EPD,Arcade | Third Person Shooter,,,,,"Jul 24, 2026",,,clz
Star Fox,Nintendo Switch 2,,owned,,,,,"Jun 25, 2026",Nintendo,Nintendo,Action | Shooter,,,,,"Jul 02, 2026",,,clz
Steins;Gate Re:Boot,Nintendo Switch 2,,owned,,,,,"Oct 29, 2026",Spike Chunsoft,mages,Visual Novel,,,,,"Sep 11, 2026",,,clz
Story Of Seasons: Grand Bazaar,Nintendo Switch 2,,owned,,,,,"Aug 27, 2025",Marvelous,Marvelous Interactive,Simulation,,,,,"Aug 28, 2025",,,clz
The Elder Scrolls IV: Oblivion Remastered,Nintendo Switch 2,,owned,,,,,"Aug 11, 2026",Bethesda Softworks,Bethesda Game Studios,,,,,,"Aug 21, 2026",,,clz
Truxton Extreme,Nintendo Switch 2,,owned,,,,,"Jul 30, 2026",Clear River Games,Tatsujin,Shoot'em Up,,,,,"Aug 04, 2026",,,clz
Wanderstop,Nintendo Switch 2,,owned,,,,,"Mar 11, 2025",Annapurna Interactive,Ivy Road,Adventure,,,,,"Aug 29, 2026",,,clz
Yooka-Replaylee,Nintendo Switch 2,,owned,,,,,"Dec 18, 2025",PM Studios,Playtonic Games,Action | Adventure,,,,,"Dec 23, 2025",,,clz
Yoshi and the Mysterious Book,Nintendo Switch 2,,owned,,,,,"May 21, 2026",Nintendo,Nintendo,Platformer,,,,,"May 21, 2026",,,clz
"1, 2, Switch",Nintendo Switch,,owned,,,,,"Mar 03, 2017",Nintendo,Nintendo,Action | Party,,,,,"Apr 15, 2025",,,clz
Absolum,Nintendo Switch,,owned,,,,,"Oct 17, 2025",Silver Lining,DotEmu,Action | Beat'em Up,,,,,"Nov 19, 2025",,,clz
ACA NEOGEO Selection Vol. 1,Nintendo Switch,,owned,,,,,"Dec 12, 2024",SNK,Hamster Corporation,Arcade,,,,,"Apr 25, 2025",,,clz
